url,title
,
https://github.com/copy/v86/blob/master/Readme.md,V86 â€“ An x86-compatible CPU and hardware emulator
,
https://canvas-gauges.com/,Canvas Gauges
,
https://www.fastcoexist.com/3063935/sweden-wants-to-fight-our-disposable-culture-with-tax-breaks-for-repairing-old-stuff,Sweden Wants to Fight Disposable Culture with Tax Breaks for Repairing Old Stuff
,
https://zo7.github.io/blog/2016/09/25/generating-faces.html,Generating Faces with Deconvolution Networks
,
https://ignite.microsoft.com,Microsoft announced Windows Server 2016 release at MSIgnite today
,
https://hms.harvard.edu/news/autism-and-evolution,Autism and evolution
,
http://toddwschneider.com/posts/analyzing-1-1-billion-nyc-taxi-and-uber-trips-with-a-vengeance/#update-2016,"In Brooklyn, Uber is now bigger than taxis"
,
http://www.computerworld.com/article/3122994/apple-mac/ibm-says-swift-is-now-ready-for-the-enterprise.html,IBM says Swift is ready for the enterprise
,
https://github.com/blog/2243-rebase-and-merge-pull-requests,Rebase and merge pull requests
,
http://www.bbc.com/news/health-37452630,Body fat link to bacteria in feces
,
http://www.atlasobscura.com/articles/the-strange-victorian-computer-that-generated-latin-verse,The Strange Victorian Computer That Generated Latin Verse
,
https://jigsaw.google.com/projects/#project-shield,Project Shield
,
http://techblog.bozho.net/i-stopped-contributing-to-stackoverflow-but-its-not-declining/,"I stopped contributing to stackoverflow, but it's not declining"
,
https://medium.com/@nirjhor/functional-programming-in-c-8bdbd903ee32,Functional programming in C++
,
https://blog.docker.com/2016/09/dockerforws2016/,Introducing Docker for Windows Server 2016
,
https://www.1843magazine.com/ideas/the-daily/why-companies-make-their-products-worse,Why companies make their products worse
,
https://www.openssl.org/news/secadv/20160926.txt,OpenSSL Security Advisory - 26 Sep 2016
,
https://news.bitcoin.com/japanese-pay-utility-bills-bitcoin/,Japanese Can Soon Pay Their Utility Bills with Bitcoin
,
http://daringfireball.net/linked/2016/09/23/ziegler-verge-apple,"The Verge editor secretly joins Apple, doesn't inform the Verge"
,
http://www.bloomberg.com/news/articles/2016-09-25/airlines-embrace-pollution-plan-that-could-cost-them-24-billion,Airlines Embrace Pollution Plan That Could Cost Them $24B
,
https://github.com/Eloston/ungoogled-chromium,"UnGoogled Chromium: Chromium with enhanced privacy, control and transparency"
,
http://momjian.us/main/writings/pgsql/features.pdf,Major features of PostgreSQL 9.6 [pdf]
,
http://www.aljazeera.com/news/2016/09/facebook-blocks-accounts-palestinian-journalists-160925095126952.html,Facebook 'blocks accounts' of Palestinian journalists
,
https://www.alexkras.com/simple-guide-to-finding-a-javascript-memory-leak-in-node-js/,Simple Guide to Finding a JavaScript Memory Leak in Node.js (2015)
,
http://golang.rakyll.org/go-tool-flags/,Go tooling essentials
,
https://w3techs.com/blog/entry/the_impact_of_lets_encrypt_on_the_ssl_certificate_market,The impact of Let's Encrypt on the SSL certificate market
,
http://www.vox.com/2016/8/24/12593214/internet-cafe-history,The hippest internet cafe of 1995 [video]
,
http://www.unz.com/article/finance-is-not-the-economy/,Finance is Not the Economy
,
http://www.techradar.com/news/world-of-tech/spacex-is-testing-new-powerful-engines-for-its-mission-to-mars-1329373,SpaceX is testing new powerful engines for its mission to Mars
,
https://openmw.org/en/,OpenMW 0.40.0 Released
news?p=2,More
